Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Logan Gilbert,2123,24,102.5,99.2,104.2,25.9,0.386,39.6,20.1
Edward Cabrera,476,7,102.5,90,95.9,26.1,0.48,33.3,18
Jorge Guzman,61,2,102.5,75,84.5,23,0.505,45.5,11.6
Derek Law,292,9,102.5,97.4,101.3,28.8,0.384,33.9,21.3
Tyler Zuber,484,30,102.4,95.3,96.6,24.8,0.446,39.7,19.5
Jose Cisnero,1067,67,102.4,98.4,99.5,26.7,0.343,37.1,14.3
Conner Greene,447,24,102.4,99.3,101.3,28.4,0.354,30.4,25.8
Jack Flaherty,1347,17,102.4,99.7,99.8,28.3,0.413,31.6,19.3
Alex Reyes,1241,69,102.3,93.6,96.9,29.8,0.321,36.8,21.9
Taylor Clarke,753,43,102.2,102.3,102,23.6,0.38,28.9,17.3
Chris Rodriguez,504,15,102.2,96.2,98.1,30.2,0.289,20.3,19
Anthony Bass,951,70,102.2,98.1,100.6,31.5,0.377,22.5,21.2
Blake Snell,2343,27,102.2,97.1,99.2,29.3,0.427,32.9,21
Lucas Giolito,2964,31,102.1,102.8,105.2,29.8,0.353,39.3,22.7
Rafael Dolis,603,39,102.1,91.3,94.7,28.7,0.342,29.8,16.8
Cody Stashak,308,15,102,92.9,96.6,29.2,0.45,42.9,22
Grant Dayton,249,13,102,103.3,98.4,26.1,0.385,37.8,23.2
James Norwood,94,5,102,100.6,98,24.5,0.423,26.7,23.2
Kodi Whitley,401,25,102,98.1,100.2,26.2,0.319,42.5,22.8
Carson Fulmer,444,20,102,94,96.8,26.8,0.376,26.2,22.8
Edgar Santana,607,41,102,100.4,101.8,28.3,0.355,25.8,22.5
David Phelps,188,11,102,101.1,99.7,29.3,0.297,40.7,15.2
Trevor Rogers,2166,25,102,102.4,102.5,30.6,0.349,36.3,22.8
Yusei Kikuchi,2561,29,101.9,99.1,98.2,28.9,0.415,29.7,22.4
Danny Coulombe,526,29,101.9,96.4,97.4,25.5,0.348,21.4,21.8
Carlos Estevez,1005,64,101.8,98.3,96.8,25,0.367,33.3,17.6
Paul Fry,872,52,101.8,90.5,98.4,28.7,0.339,27.4,16.8
Seth Lugo,730,46,101.8,102.6,103.9,32.7,0.402,32.1,21.7
Eric Hanhold,188,10,101.7,93.6,98.5,25,0.405,23.8,17
Michael King,1007,22,101.7,101.9,103.7,28.8,0.384,31.8,19.2
Garrett Whitlock,1140,46,101.7,104.6,103.5,30.4,0.333,37.6,21.8
J.B. Wendelken,748,46,101.7,100,99.8,25.4,0.373,32.6,18.2
Andrew Heaney,2251,29,101.6,101.2,102.3,28.5,0.4,37.4,22.9
Alek Manoah,1843,20,101.6,98.4,100.6,28.4,0.324,37,20.8
Shane Bieber,1552,16,101.5,102,103.1,33.5,0.403,31.1,27.2
Corbin Martin,342,5,101.5,93.5,92.6,21.6,0.479,18.5,16.9
Rex Brothers,997,57,101.4,90,96.1,27.9,0.45,37.8,20.2
Harold Castro,1,1,101.4,120.9,124.8,100,NA,NA,0
Joe Smith,649,49,101.4,103.9,105.7,27.6,0.33,19.3,22
Anthony DeSclafani,2542,31,101.4,102.5,102.6,27.6,0.36,24.2,20.1
Tony Gonsolin,990,15,101.4,93.4,96.1,28.4,0.329,31.8,20
Lucas Gilbreath,731,47,101.4,94.1,98.8,28.5,0.303,32.6,19.2
Vince Velasquez,1750,25,101.3,99.1,99.5,26.9,0.407,35.9,17.1
Dillon Maples,563,28,101.3,82,91.3,30.4,0.32,27.1,16.2
Jose Urquidy,1630,20,101.3,106.5,107.1,28.4,0.36,32.3,21.4
Victor Gonzalez,555,44,101.3,96.9,100.3,28.6,0.353,19.2,26.2
John Curtiss,698,41,101.2,102.8,102.9,30.7,0.356,26.8,22.2
Drew Smyly,2135,29,101.2,103.6,97.9,28.1,0.403,25.6,23
Austin Warren,286,15,101.2,100.2,98.9,29.4,0.289,15.4,21.6
Domingo Tapia,516,34,101.1,99.8,99.9,26,0.33,16.7,19.2
Ryan Tepera,947,65,101.1,99.2,99.5,30.7,0.304,30.6,24.7
Jordan Holloway,661,13,101.1,95.6,96.5,29.5,0.315,27,17.3
Akeem Bostick,14,1,101.1,88.9,95.4,28.6,0.196,0,20
Drew Steckenrider,987,61,101.1,103.5,102.1,26.2,0.324,27.8,19.8
T.J. McFarland,511,38,101.1,98.1,96.2,21.3,0.321,11.6,22.1
Ryan Yarbrough,2480,30,101.1,105.6,100.7,27.2,0.37,26.6,23.9
Miguel Diaz,695,25,101.1,97.4,97.3,27.3,0.423,25,15.1
Yoan Lopez,212,13,101,94.5,95.7,26.4,0.481,20.5,22.7
Joe Biagini,41,1,101,78.1,83,29.3,0.204,33.3,25
Kervin Castro,201,10,100.9,99.2,102,32.8,0.368,31.7,27.1
Carlos Hernandez,1433,24,100.9,97.1,98.8,24.5,0.343,30.4,18.6
Daniel Zamora,65,4,100.9,95.9,85.6,29.2,0.341,20,26.8
Bryan Mitchell,66,2,100.8,107,99.5,27.3,0.313,40,21.1
Jandel Gustave,293,14,100.8,98.2,99.9,24.2,0.356,13.7,18.4
Madison Bumgarner,2284,26,100.8,101.8,100.1,28,0.363,24.6,19.5
Vladimir Gutierrez,1830,22,100.8,100.4,100.1,26.5,0.346,25.8,20.7
Jhonathan Diaz,237,3,100.8,96.4,98.9,25.7,0.372,20,17.3
Reiver Sanmartin,180,2,100.8,104.7,104,30.6,0.34,25.9,25.7
Tyler Clippard,410,26,100.7,96.4,95.8,24.4,0.403,30,16.7
Austin Gomber,1839,23,100.7,100,98.7,30.3,0.363,25.9,22.5
Elieser Hernandez,818,11,100.7,103.4,100.4,29,0.398,28.2,18.4
Sean Reid-Foley,371,12,100.6,98.8,100.5,28.8,0.399,33.3,16.5
Nick Mears,451,30,100.6,97.2,98.8,26.6,0.377,36.2,20.4
Touki Toussaint,819,11,100.6,93.7,95.8,28.3,0.401,22.3,17.9
Clarke Schmidt,143,2,100.6,91.4,96.4,23.1,0.309,10,21.8
Keegan Thompson,965,32,100.6,97.5,97.2,25.9,0.398,29.5,18.9
Adam Morgan,442,34,100.5,99.5,101.6,33,0.355,27.7,24.9
Chris Stratton,1374,68,100.5,100.7,100.4,29,0.354,25.1,22.2
Tyler Mahle,3186,33,100.5,103.6,103.1,29.3,0.355,35.8,20
Ryan Helsley,799,51,100.5,95.4,100.6,26.5,0.377,31.3,20.5
Hunter Wood,65,5,100.5,91.5,103.8,30.8,0.378,38.5,20
Angel Perdomo,352,19,100.5,91.9,94.1,31.2,0.455,52.7,12.4
Dietrich Enns,358,9,100.5,103.7,101.7,26,0.316,33.3,24.5
Sam Howard,845,54,100.4,94.3,96.4,32.1,0.363,42,20
Framber Valdez,2083,22,100.4,95.3,98.6,28.8,0.323,18.6,19.7
Pat Valaika,1,1,100.3,62.2,63.1,0,NA,NA,0
